#{"t_start": 1754090419.815753, "env_id": "None"}
r,l,t
0.0,25,31.345064
0.0,25,31.345064
-50.43244,25,31.345064
0.0,25,31.458295
0.0,25,31.458295
0.0,25,31.458295
0.0,25,31.458295
30.0,25,31.564359
30.0,25,31.564359
30.0,25,31.564359
-80.513855,25,31.564359
0.0,25,31.672401
0.0,25,31.672401
0.0,25,31.672401
0.0,25,31.672401
0.0,25,31.786864
0.0,25,31.786864
0.0,25,31.786864
0.0,25,31.786864
0.0,25,31.872018
0.0,25,31.872018
0.0,25,31.872018
-51.26019,25,31.872018
0.0,25,31.970137
0.0,25,31.970137
0.0,25,31.970137
0.0,25,31.970137
40.0,25,32.046182
40.0,25,32.053997
40.0,25,32.053997
-45.689495,25,32.053997
0.0,25,32.316502
0.0,25,32.316502
0.0,25,32.316502
-14.623517,25,32.316502
0.0,25,32.685077
0.0,25,32.685077
0.0,25,32.685077
0.0,25,32.685077
0.0,25,33.158273
0.0,25,33.158273
0.0,25,33.158273
0.0,25,33.158273
40.0,25,33.378237
40.0,25,33.378237
40.0,25,33.378237
-40.0,25,33.378237
0.0,25,33.564979
0.0,25,33.564979
0.0,25,33.564979
0.0,25,33.564979
0.0,25,33.742457
0.0,25,33.742457
0.0,25,33.742457
0.0,25,33.74397
0.0,25,33.938282
0.0,25,33.938282
0.0,25,33.938282
-8.843618,25,33.938282
0.0,25,34.130539
0.0,25,34.130539
0.0,25,34.130539
0.0,25,34.130539
0.0,25,34.335117
0.0,25,34.335117
0.0,25,34.335117
0.0,25,34.335117
30.0,25,34.656033
30.0,25,34.658046
30.0,25,34.658046
-30.0,25,34.658046
0.0,25,35.002541
0.0,25,35.002541
0.0,25,35.002541
0.0,25,35.002541
10.0,25,35.21847
10.0,25,35.21847
10.0,25,35.21847
-10.0,25,35.21847
0.0,25,35.365555
0.0,25,35.365555
0.0,25,35.365555
0.0,25,35.365555
0.0,25,35.502526
0.0,25,35.502526
0.0,25,35.502526
0.0,25,35.502526
10.0,25,35.632852
10.0,25,35.632852
10.0,25,35.632852
-10.0,25,35.632852
0.0,25,35.751266
0.0,25,35.751266
0.0,25,35.751266
-62.15443,25,35.751266
0.0,25,35.868194
0.0,25,35.868194
0.0,25,35.868194
-6.9804807,25,35.868194
0.0,25,35.990152
0.0,25,35.990152
0.0,25,35.990152
-17.993202,25,35.990152
0.0,25,36.104436
0.0,25,36.104436
0.0,25,36.104436
-5.7634873,25,36.104436
0.0,25,36.223041
0.0,25,36.223041
0.0,25,36.223041
0.0,25,36.223041
0.0,25,36.358442
0.0,25,36.358442
0.0,25,36.358442
-44.161644,25,36.358442
0.0,25,36.563884
0.0,25,36.563884
0.0,25,36.563884
-52.27143,25,36.563884
0.0,25,36.878326
0.0,25,36.878326
0.0,25,36.878326
-35.179245,25,36.878326
0.0,25,37.038102
0.0,25,37.038102
0.0,25,37.038102
0.0,25,37.038102
0.0,25,37.168268
0.0,25,37.168268
0.0,25,37.168268
-31.832064,25,37.168268
0.0,25,37.272241
0.0,25,37.272241
0.0,25,37.274272
-8.645116,25,37.274272
0.0,25,37.407163
0.0,25,37.407163
0.0,25,37.407163
-14.187514,25,37.407163
0.0,25,37.545127
0.0,25,37.545127
0.0,25,37.545127
-24.852388,25,37.545127
0.0,25,37.667981
0.0,25,37.667981
0.0,25,37.667981
-26.596703,25,37.667981
0.0,25,37.791528
0.0,25,37.791528
0.0,25,37.791528
0.0,25,37.791528
0.0,25,37.900538
0.0,25,37.900538
0.0,25,37.900538
0.0,25,37.900538
20.0,25,38.000588
20.0,25,38.000588
20.0,25,38.000588
-41.72524,25,38.000588
0.0,25,38.130033
0.0,25,38.130033
0.0,25,38.130033
-32.731293,25,38.130033
0.0,25,38.256141
0.0,25,38.256141
0.0,25,38.256141
0.0,25,38.256141
0.0,25,38.393563
0.0,25,38.393563
0.0,25,38.393563
-53.851143,25,38.393563
0.0,25,38.512909
0.0,25,38.512909
0.0,25,38.512909
0.0,25,38.512909
0.0,25,38.635143
0.0,25,38.635143
0.0,25,38.635143
0.0,25,38.635143
0.0,25,38.764936
0.0,25,38.764936
0.0,25,38.764936
-10.298241,25,38.764936
0.0,25,38.874968
0.0,25,38.874968
0.0,25,38.874968
0.0,25,38.874968
0.0,25,38.988035
0.0,25,38.988035
0.0,25,38.988035
-62.717243,25,38.988035
20.0,25,39.100482
20.0,25,39.101991
20.0,25,39.101991
-26.119816,25,39.101991
0.0,25,39.228376
0.0,25,39.228376
0.0,25,39.228376
0.0,25,39.228376
0.0,25,39.358348
0.0,25,39.358348
0.0,25,39.358348
-23.5525,25,39.358348
0.0,25,50.582685
0.0,25,50.582685
0.0,25,50.582685
0.0,25,50.582685
0.0,25,50.650404
0.0,25,50.652448
0.0,25,50.652448
-9.976795,25,50.652448
0.0,25,50.723184
0.0,25,50.723184
0.0,25,50.723184
0.0,25,50.723184
0.0,25,50.792109
0.0,25,50.792109
0.0,25,50.792109
0.0,25,50.792109
0.0,25,50.878051
0.0,25,50.878051
0.0,25,50.878051
-17.310772,25,50.878051
0.0,25,50.962023
0.0,25,50.962023
0.0,25,50.962023
0.0,25,50.962023
10.0,25,51.066717
10.0,25,51.066717
10.0,25,51.066717
-20.937037,25,51.066717
20.0,25,51.150918
20.0,25,51.150918
20.0,25,51.15293
-20.194426,25,51.15293
0.0,25,51.232407
0.0,25,51.232407
0.0,25,51.238437
0.0,25,51.238437
0.0,25,51.328243
0.0,25,51.328752
0.0,25,51.328752
0.0,25,51.328752
0.0,25,51.40014
0.0,25,51.40014
0.0,25,51.40014
-24.102581,25,51.40014
0.0,25,51.468275
0.0,25,51.468275
0.0,25,51.468275
0.0,25,51.468275
0.0,25,51.561999
0.0,25,51.561999
0.0,25,51.561999
0.0,25,51.561999
20.0,25,51.632231
20.0,25,51.632231
20.0,25,51.632231
-24.692574,25,51.632231
0.0,25,51.71262
0.0,25,51.714641
0.0,25,51.714641
-59.08816,25,51.714641
0.0,25,51.80019
